model,batch_size,repeat_count,min_time_s,median_time_s,mean_time_s,stdev_time_s
lr,1,5,0.001461326999560697,0.004450978001841577,0.0033218266005860643,0.0015155936469407997
lr,10,5,0.0014171929979056586,0.0014313499996205792,0.001955983798688976,0.0010276602598562389
lr,100,5,0.0014170630020089447,0.0014365130009537097,0.0014368564006872475,1.7701897819763154e-05
lr,1000,5,0.0015216749998216983,0.001533509999717353,0.0015360394005256238,1.3142286241568214e-05
lr,5000,5,0.001405766000971198,0.0014224099977582227,0.001558427999407286,0.00027762897960875846
lr,10000,5,0.0018074450017593335,0.0018203830004495103,0.0018757798010483385,0.00010607111927905812
lr,20000,5,0.0033474109986855183,0.003714312999363756,0.0036481469993304926,0.000151011130246709
lr,56962,5,0.008092189997114474,0.00815165300082299,0.008182317599857925,8.373275779456137e-05
dt,1,5,0.0006938459991943091,0.0007013469985395204,0.0007055531998048537,1.2813585371425825e-05
dt,10,5,0.0006947680012672208,0.0007056370013742708,0.0007110170008672867,1.5538915966962617e-05
dt,100,5,0.0007032059984339867,0.000712993998604361,0.0007159820001106709,1.1658883157888291e-05
dt,1000,5,0.0007421250011248048,0.0007490800016967114,0.0007538892001321074,1.4221129316048377e-05
dt,5000,5,0.0009045699989655986,0.0009140130023297388,0.0009539178005070426,8.229121192408065e-05
dt,10000,5,0.0011496770021039993,0.0012837499998568092,0.0013560542007326148,0.000192944489401406
dt,20000,5,0.0016251369997917209,0.001654493000387447,0.0017060660000424832,0.00010496578201285898
dt,56962,5,0.003664692998427199,0.0037723179993918166,0.003898526799457613,0.0002337433046340274
rf,1,5,0.007356661000812892,0.007557205000921385,0.008486749800067628,0.0016911507570642195
rf,10,5,0.007144871000491548,0.00735907399939606,0.009285997199913253,0.0026952302323780906
rf,100,5,0.008023888000025181,0.008030745000723982,0.008431977401050972,0.0007523802228296865
rf,1000,5,0.01108833800026332,0.011167721000674646,0.011206262799532851,0.00010144393967914471
rf,5000,5,0.023564251001516823,0.02365919400108396,0.023694357000931632,0.0001200656207680833
rf,10000,5,0.038162421002198244,0.038325270001223544,0.038312614401365866,9.578716010975816e-05
rf,20000,5,0.06710227100120392,0.067361435998464,0.06773790059960447,0.0007047540128041159
rf,56962,5,0.19022755100013455,0.19155985299948952,0.1913098702003481,0.0008996090611956131
svm,1,5,0.0010789299994939938,0.0010844190001080278,0.0010909264005022124,1.2005264175135614e-05
svm,10,5,0.0010739720019046217,0.0010785910017148126,0.0010901064015342854,2.3034558055340606e-05
svm,100,5,0.0010864959986065514,0.0010909110023931134,0.0010942932000034488,9.89430178067478e-06
svm,1000,5,0.0011571020004339516,0.0011927070008823648,0.0011848646012367682,2.2572616683620642e-05
svm,5000,5,0.001370357997075189,0.0013794500009680633,0.00142061299920897,8.685005120984242e-05
svm,10000,5,0.0016860340001585428,0.0017070850008167326,0.001753274600196164,9.639582272691442e-05
svm,20000,5,0.002986833998875227,0.003366750999703072,0.0032966733997454867,0.00015618951431440283
svm,56962,5,0.006981914000789402,0.007105757998942863,0.007149315399874468,0.00015069890052684404
mlp,1,5,0.0010602059992379509,0.0010706490029406268,0.001078368600428803,1.953624496227829e-05
mlp,10,5,0.0010786080019897781,0.0010825589997693896,0.0010855055996216833,6.926648026182638e-06
mlp,100,5,0.0011139759990328457,0.0011301269987598062,0.0011395207999157718,2.8485797738324525e-05
mlp,1000,5,0.0015745880009490065,0.0018090820012730546,0.0017657250005868263,9.574953878458016e-05
mlp,5000,5,0.0031981190004444215,0.003274198003055062,0.0033071594007196836,0.00010546363758293025
mlp,10000,5,0.005586377999861725,0.005616848997306079,0.005676124800083926,0.00011085129610056492
mlp,20000,5,0.010756487001344794,0.011806913000327768,0.012099601200316102,0.0013357311009375376
mlp,56962,5,0.03384752800047863,0.03467257500233245,0.035068982400844106,0.0014156328425379162
